"incident_datetime","incident_date","incident_time","incident_year","incident_day_of_week","report_datetime","row_id","incident_id","incident_number","cad_number","report_type_code","report_type_description","filed_online","incident_code","incident_category","incident_subcategory","incident_description","resolution","intersection","cnn","police_district","analysis_neighborhood","supervisor_district","supervisor_district_2012","latitude","longitude","point"
"2024-02-19T19:19:00.000","2024-02-19T00:00:00.000","19:19","2024","Monday","2024-02-19T19:19:00.000","136604406361","1366044","240111071","240502639","II","Initial",,"06361","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, <$50","Cite or Arrest Adult","VIRGINIA AVE \ MISSION ST","21331000","Ingleside","Bernal Heights","9","9","37.74312210083008","-122.4214859008789","POINT (-122.4214859008789 37.74312210083008)"
"2024-02-19T19:17:00.000","2024-02-19T00:00:00.000","19:17","2024","Monday","2024-02-19T19:17:00.000","136601606361","1366016","240111106","240502636","II","Initial",,"06361","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, <$50","Open or Active","VIRGINIA AVE \ MISSION ST","21331000","Ingleside","Bernal Heights","9","9","37.74312210083008","-122.4214859008789","POINT (-122.4214859008789 37.74312210083008)"
"2024-02-19T19:09:00.000","2024-02-19T00:00:00.000","19:09","2024","Monday","2024-02-19T19:09:00.000","136601406361","1366014","240111043","240502616","II","Initial",,"06361","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, <$50","Cite or Arrest Adult","VIRGINIA AVE \ MISSION ST","21331000","Ingleside","Bernal Heights","9","9","37.74312210083008","-122.4214859008789","POINT (-122.4214859008789 37.74312210083008)"
"2024-02-19T19:07:00.000","2024-02-19T00:00:00.000","19:07","2024","Monday","2024-02-19T19:37:00.000","136602406154","1366024","240111184","240502699","II","Initial",,"06154","Larceny Theft","Larceny Theft - Other","Theft, From Person, >$950 (other than Pickpocket)","Open or Active","04TH ST \ ELLIS ST \ MARKET ST \ STOCKTON ST","24892000","Tenderloin","South of Market","6","6","37.785743713378906","-122.40583038330078","POINT (-122.40583038330078 37.785743713378906)"
"2024-02-19T19:06:00.000","2024-02-19T00:00:00.000","19:06","2024","Monday","2024-02-19T19:06:00.000","136602771012","1366027","240109571","240502417","VS","Vehicle Supplement",,"71012","Other Offenses","Other Offenses","License Plate, Recovered","Open or Active","ARGUELLO BLVD \ CARL ST","27062000","Park","Inner Sunset","7","5","37.764808654785156","-122.45771789550781","POINT (-122.45771789550781 37.764808654785156)"
"2024-02-19T19:00:00.000","2024-02-19T00:00:00.000","19:00","2024","Monday","2024-02-19T19:00:00.000","136601068069","1366010","240105494","240480101","IS","Initial Supplement",,"68069","Traffic Collision","Traffic Collision - Hit & Run","Traffic Collision, Hit & Run, Injury","Cite or Arrest Adult","MISSION ST \ LASKIE ST","24314000","Southern","South of Market","6","6","37.77670669555664","-122.41410827636719","POINT (-122.41410827636719 37.77670669555664)"
"2024-02-19T19:00:00.000","2024-02-19T00:00:00.000","19:00","2024","Monday","2024-02-19T19:17:00.000","136602204134","1366022","240111128","240502638","II","Initial",,"04134","Assault","Simple Assault","Battery","Open or Active","24TH ST \ OSAGE ALY","24089000","Mission","Mission","9","9","37.75220489501953","-122.41901397705078","POINT (-122.41901397705078 37.75220489501953)"
"2024-02-19T19:00:00.000","2024-02-19T00:00:00.000","19:00","2024","Monday","2024-02-19T19:00:00.000","136601004073","1366010","240105494","240480101","IS","Initial Supplement",,"04073","Assault","Aggravated Assault","Assault, Aggravated, On Police Off., W/ Other Weapon","Cite or Arrest Adult","MISSION ST \ LASKIE ST","24314000","Southern","South of Market","6","6","37.77670669555664","-122.41410827636719","POINT (-122.41410827636719 37.77670669555664)"
"2024-02-19T19:00:00.000","2024-02-19T00:00:00.000","19:00","2024","Monday","2024-02-19T19:00:00.000","136601065050","1366010","240105494","240480101","IS","Initial Supplement",,"65050","Other Miscellaneous","Other","Driving While Under The Influence Of Alcohol","Cite or Arrest Adult","MISSION ST \ LASKIE ST","24314000","Southern","South of Market","6","6","37.77670669555664","-122.41410827636719","POINT (-122.41410827636719 37.77670669555664)"
"2024-02-19T18:49:00.000","2024-02-19T00:00:00.000","18:49","2024","Monday","2024-02-19T18:49:00.000","136604168030","1366041","240111140","240502570","II","Initial",,"68030","Courtesy Report","Courtesy Report","Courtesy Report","Unfounded","FOLSOM ST \ 14TH ST","24336000","Mission","Mission","9","9","37.76853561401367","-122.41561126708984","POINT (-122.41561126708984 37.76853561401367)"
"2024-02-19T18:48:00.000","2024-02-19T00:00:00.000","18:48","2024","Monday","2024-02-19T21:21:00.000","136605307025","1366053","240111429","240502975","VI","Vehicle Initial",,"07025","Motor Vehicle Theft","Motor Vehicle Theft","Vehicle, Stolen, Truck","Open or Active","BOUTWELL ST \ INDUSTRIAL ST \ LOOMIS ST","20779000","Bayview","Bayview Hunters Point","10","10","37.73832321166992","-122.40564727783203","POINT (-122.40564727783203 37.73832321166992)"
"2024-02-19T18:44:00.000","2024-02-19T00:00:00.000","18:44","2024","Monday","2024-02-19T19:44:00.000","136604004134","1366040","240111203","240502715","II","Initial",,"04134","Assault","Simple Assault","Battery","Open or Active","VALENCIA ST \ 22ND ST","24115000","Mission","Mission","9","8","37.75529479980469","-122.42096710205078","POINT (-122.42096710205078 37.75529479980469)"
"2024-02-19T18:44:00.000","2024-02-19T00:00:00.000","18:44","2024","Monday","2024-02-19T19:01:00.000","136602006373","1366020","240111087","240502593","II","Initial",,"06373","Larceny Theft","Larceny Theft - Other","Theft, Other Property, $200-$950","Open or Active","MISSOURI ST \ 20TH ST","23665000","Bayview","Potrero Hill","10","10","37.76002502441406","-122.39628601074219","POINT (-122.39628601074219 37.76002502441406)"
"2024-02-19T18:40:00.000","2024-02-19T00:00:00.000","18:40","2024","Monday","2024-02-19T18:46:00.000","136605606361","1366056","240110982","240502563","II","Initial",,"06361","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, <$50","Cite or Arrest Adult","VIRGINIA AVE \ MISSION ST","21331000","Ingleside","Bernal Heights","9","9","37.74312210083008","-122.4214859008789","POINT (-122.4214859008789 37.74312210083008)"
"2024-02-19T18:35:00.000","2024-02-19T00:00:00.000","18:35","2024","Monday","2024-02-19T18:40:00.000","136601903072","1366019","240110960","240502552","II","Initial",,"03072","Robbery","Robbery - Other","Robbery, W/ Knife","Open or Active","FILLMORE ST \ POST ST","26592000","Northern","Japantown","5","5","37.785152435302734","-122.4330825805664","POINT (-122.4330825805664 37.785152435302734)"
"2024-02-19T18:30:00.000","2024-02-19T00:00:00.000","18:30","2024","Monday","2024-02-19T20:29:00.000","136604263010","1366042","240111247","240502600","II","Initial",,"63010","Warrant","Other","Warrant Arrest, Local SF Warrant","Cite or Arrest Adult","POWELL ST \ OFARRELL ST","24904000","Central","Tenderloin","3","3","37.78641128540039","-122.40803527832031","POINT (-122.40803527832031 37.78641128540039)"
"2024-02-19T18:30:00.000","2024-02-19T00:00:00.000","18:30","2024","Monday","2024-02-19T20:29:00.000","136604206363","1366042","240111247","240502600","II","Initial",,"06363","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, $200-$950","Cite or Arrest Adult","POWELL ST \ OFARRELL ST","24904000","Central","Tenderloin","3","3","37.78641128540039","-122.40803527832031","POINT (-122.40803527832031 37.78641128540039)"
"2024-02-19T18:30:00.000","2024-02-19T00:00:00.000","18:30","2024","Monday","2024-02-19T20:29:00.000","136604262050","1366042","240111247","240502600","II","Initial",,"62050","Warrant","Warrant","Warrant Arrest, Enroute To Outside Jurisdiction","Cite or Arrest Adult","POWELL ST \ OFARRELL ST","24904000","Central","Tenderloin","3","3","37.78641128540039","-122.40803527832031","POINT (-122.40803527832031 37.78641128540039)"
"2024-02-19T18:23:00.000","2024-02-19T00:00:00.000","18:23","2024","Monday","2024-02-19T18:23:00.000","136600812168","1366008","240111021","240502498","II","Initial",,"12168","Weapons Carrying Etc","Weapons Offense","Firearm, Loaded, in Vehicle, Possession or Use","Open or Active","DONNER AVE \ INGALLS ST","20449000","Bayview","Bayview Hunters Point","10","10","37.722225189208984","-122.39018249511719","POINT (-122.39018249511719 37.722225189208984)"
"2024-02-19T18:23:00.000","2024-02-19T00:00:00.000","18:23","2024","Monday","2024-02-19T18:23:00.000","136600864085","1366008","240111021","240502498","II","Initial",,"64085","Other Miscellaneous","Other","Investigative Detention","Open or Active","DONNER AVE \ INGALLS ST","20449000","Bayview","Bayview Hunters Point","10","10","37.722225189208984","-122.39018249511719","POINT (-122.39018249511719 37.722225189208984)"
"2024-02-19T18:23:00.000","2024-02-19T00:00:00.000","18:23","2024","Monday","2024-02-19T18:23:00.000","136600862071","1366008","240111021","240502498","II","Initial",,"62071","Warrant","Other","Probation Search","Open or Active","DONNER AVE \ INGALLS ST","20449000","Bayview","Bayview Hunters Point","10","10","37.722225189208984","-122.39018249511719","POINT (-122.39018249511719 37.722225189208984)"
"2024-02-19T18:20:00.000","2024-02-19T00:00:00.000","18:20","2024","Monday","2024-02-19T20:31:00.000","136603006153","1366030","240111275","240502836","II","Initial",,"06153","Larceny Theft","Larceny Theft - Other","Theft, From Person, $200-$950 (other than Pickpocket)","Open or Active","NEW MONTGOMERY ST \ MARKET ST \ MONTGOMERY ST","30735000","Central","Financial District/South Beach","3","3","37.78872299194336","-122.40206909179688","POINT (-122.40206909179688 37.78872299194336)"
"2024-02-19T18:18:00.000","2024-02-19T00:00:00.000","18:18","2024","Monday","2024-02-19T18:18:00.000","136602371012","1366023","240110954","240502417","VI","Vehicle Initial",,"71012","Other Offenses","Other Offenses","License Plate, Recovered","Open or Active","ARGUELLO BLVD \ CARL ST","27062000","Park","Inner Sunset","7","5","37.764808654785156","-122.45771789550781","POINT (-122.45771789550781 37.764808654785156)"
"2024-02-19T18:10:00.000","2024-02-19T00:00:00.000","18:10","2024","Monday","2024-02-19T18:11:00.000","136602606363","1366026","240111065","240502468","II","Initial",,"06363","Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, $200-$950","Open or Active","18TH ST \ CASTRO ST","25813000","Mission","Castro/Upper Market","8","8","37.760887145996094","-122.43499755859375","POINT (-122.43499755859375 37.760887145996094)"
"2024-02-19T18:06:00.000","2024-02-19T00:00:00.000","18:06","2024","Monday","2024-02-19T18:06:00.000","136605116100","1366051","240110948","240502454","II","Initial",,"16100","Drug Offense","Drug Violation","Heroin Offense","Cite or Arrest Adult","MINNA ST \ 10TH ST","24413000","Southern","South of Market","6","6","37.774845123291016","-122.41537475585938","POINT (-122.41537475585938 37.774845123291016)"
"2024-02-19T18:06:00.000","2024-02-19T00:00:00.000","18:06","2024","Monday","2024-02-19T18:06:00.000","136605165010","1366051","240110948","240502454","II","Initial",,"65010","Traffic Violation Arrest","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","MINNA ST \ 10TH ST","24413000","Southern","South of Market","6","6","37.774845123291016","-122.41537475585938","POINT (-122.41537475585938 37.774845123291016)"
